Station,r/R,X_in,Y_in,Z_in
4,0.428571,2.48206063,-0.07863589,16.87289089
4,0.428571,2.33289805,-0.04487938,16.87289089
4,0.428571,2.17557648,-0.01043022,16.87289089
4,0.428571,2.01252884,0.02363588,16.87289089
4,0.428571,1.84921399,0.05581340,16.87289089
4,0.428571,1.68813981,0.08546772,16.87289089
4,0.428571,1.52967517,0.11248997,16.87289089
4,0.428571,1.37228779,0.13711680,16.87289089
4,0.428571,1.21490061,0.15951015,16.87289089
4,0.428571,1.05718035,0.17969500,16.87289089
4,0.428571,0.89883844,0.19773358,16.87289089
4,0.428571,0.74033613,0.21363192,16.87289089
4,0.428571,0.58241421,0.22721270,16.87289089
4,0.428571,0.42699805,0.23845345,16.87289089
4,0.428571,0.27434666,0.24745658,16.87289089
4,0.428571,0.12678616,0.25339804,16.87289089
4,0.428571,-0.05338890,0.25680586,16.87289089
4,0.428571,-0.10574114,0.25698231,16.87289089
4,0.428571,-0.28299683,0.25462527,16.87289089
4,0.428571,-0.40671120,0.24895245,16.87289089
4,0.428571,-0.52343654,0.23983208,16.87289089
4,0.428571,-0.63284495,0.22772686,16.87289089
4,0.428571,-0.73336085,0.21130048,16.87289089
4,0.428571,-0.82450716,0.19132935,16.87289089
4,0.428571,-0.90198699,0.16757268,16.87289089
4,0.428571,-0.95886548,0.14089146,16.87289089
4,0.428571,-0.99388681,0.11127281,16.87289089
4,0.428571,-1.00954265,0.07565476,16.87289089
4,0.428571,-1.00954265,0.07565476,16.87289089
4,0.428571,-0.99894358,0.04379498,16.87289089
4,0.428571,-0.96773221,0.02257306,16.87289089
4,0.428571,-0.91433687,0.00277493,16.87289089
4,0.428571,-0.84006178,-0.01623262,16.87289089
4,0.428571,-0.75166931,-0.03300885,16.87289089
4,0.428571,-0.65354409,-0.04848401,16.87289089
4,0.428571,-0.54613297,-0.06303072,16.87289089
4,0.428571,-0.43116282,-0.07733173,16.87289089
4,0.428571,-0.30891615,-0.09124404,16.87289089
4,0.428571,-0.13324685,-0.11005591,16.87289089
4,0.428571,-0.08128621,-0.11545787,16.87289089
4,0.428571,0.09779223,-0.13349909,16.87289089
4,0.428571,0.24475052,-0.14747651,16.87289089
4,0.428571,0.39700850,-0.16172926,16.87289089
4,0.428571,0.55224310,-0.17539291,16.87289089
4,0.428571,0.71018317,-0.18873139,16.87289089
4,0.428571,0.86892454,-0.20143959,16.87289089
4,0.428571,1.02771736,-0.21346129,16.87289089
4,0.428571,1.18610338,-0.22476216,16.87289089
4,0.428571,1.34438026,-0.23528329,16.87289089
4,0.428571,1.50288431,-0.24500928,16.87289089
4,0.428571,1.66270770,-0.25390014,16.87289089
4,0.428571,1.82540997,-0.26182910,16.87289089
4,0.428571,1.99063435,-0.26852577,16.87289089
4,0.428571,2.15585782,-0.27355742,16.87289089
4,0.428571,2.31553982,-0.27650885,16.87289089
4,0.428571,2.46718388,-0.27715236,16.87289089
4,0.428571,2.61222755,-0.27531142,16.87289089
4,0.428571,2.75192967,-0.27095855,16.87289089
4,0.428571,2.88743318,-0.26393574,16.87289089
4,0.428571,3.02233563,-0.25207609,16.87289089
5,0.571429,2.73650836,-0.23339406,22.49718785
5,0.571429,2.61168950,-0.20122471,22.49718785
5,0.571429,2.48281560,-0.16788086,22.49718785
5,0.571429,2.34880914,-0.13340844,22.49718785
5,0.571429,2.20845930,-0.09799379,22.49718785
5,0.571429,2.06040553,-0.06173136,22.49718785
5,0.571429,1.90692471,-0.02569461,22.49718785
5,0.571429,1.75314689,0.00856537,22.49718785
5,0.571429,1.60143019,0.04038980,22.49718785
5,0.571429,1.45212111,0.06966713,22.49718785
5,0.571429,1.30377531,0.09665721,22.49718785
5,0.571429,1.15537746,0.12153851,22.49718785
5,0.571429,1.00661278,0.14434252,22.49718785
5,0.571429,0.85720968,0.16513486,22.49718785
5,0.571429,0.70760476,0.18391028,22.49718785
5,0.571429,0.55849479,0.20048374,22.49718785
5,0.571429,0.41170106,0.21478830,22.49718785
5,0.571429,0.26747105,0.22691452,22.49718785
5,0.571429,0.12798650,0.23602909,22.49718785
5,0.571429,-0.04241762,0.24352614,22.49718785
5,0.571429,-0.09194982,0.24493621,22.49718785
5,0.571429,-0.25972644,0.24692093,22.49718785
5,0.571429,-0.37691917,0.24450330,22.49718785
5,0.571429,-0.48757945,0.23866460,22.49718785
5,0.571429,-0.59138616,0.22983392,22.49718785
5,0.571429,-0.68687977,0.21671213,22.49718785
5,0.571429,-0.77359066,0.20002095,22.49718785
5,0.571429,-0.84745871,0.17943100,22.49718785
5,0.571429,-0.90190193,0.15559047,22.49718785
5,0.571429,-0.93573236,0.12845736,22.49718785
5,0.571429,-0.95137926,0.09519985,22.49718785
5,0.571429,-0.95137926,0.09519985,22.49718785
5,0.571429,-0.94209552,0.06486717,22.49718785
5,0.571429,-0.91305936,0.04408882,22.49718785
5,0.571429,-0.86299914,0.02412785,22.49718785
5,0.571429,-0.79316375,0.00441738,22.49718785
5,0.571429,-0.70991813,-0.01352165,22.49718785
5,0.571429,-0.61743284,-0.03046345,22.49718785
5,0.571429,-0.51613941,-0.04674918,22.49718785
5,0.571429,-0.40768777,-0.06298247,22.49718785
5,0.571429,-0.29234191,-0.07902160,22.49718785
5,0.571429,-0.12656152,-0.10095561,22.49718785
5,0.571429,-0.07752208,-0.10729013,22.49718785
5,0.571429,0.09150211,-0.12857749,22.49718785
5,0.571429,0.23022887,-0.14526505,22.49718785
5,0.571429,0.37396384,-0.16233843,22.49718785
5,0.571429,0.52052909,-0.17892631,22.49718785
5,0.571429,0.66966190,-0.19527144,22.49718785
5,0.571429,0.81956766,-0.21104050,22.49718785
5,0.571429,0.96953815,-0.22616262,22.49718785
5,0.571429,1.11914058,-0.24059449,22.49718785
5,0.571429,1.26865799,-0.25428757,22.49718785
5,0.571429,1.41840894,-0.26723529,22.49718785
5,0.571429,1.56942781,-0.27942586,22.49718785
5,0.571429,1.72319321,-0.29077660,22.49718785
5,0.571429,1.87937388,-0.30102376,22.49718785
5,0.571429,2.03559264,-0.30969885,22.49718785
5,0.571429,2.18661665,-0.31627825,22.49718785
5,0.571429,2.33008904,-0.32048766,22.49718785
5,0.571429,2.46737419,-0.32219458,22.49718785
5,0.571429,2.59966385,-0.32140293,22.49718785
5,0.571429,2.72804319,-0.31799070,22.49718785
6,0.714286,2.57774498,-0.28486991,28.12148481
6,0.714286,2.46076777,-0.25163692,28.12148481
6,0.714286,2.33999330,-0.21720253,28.12148481
6,0.714286,2.21440419,-0.18158436,28.12148481
6,0.714286,2.08285413,-0.14492896,28.12148481
6,0.714286,1.94405769,-0.10729292,28.12148481
6,0.714286,1.80013742,-0.06974033,28.12148481
6,0.714286,1.65589574,-0.03385247,28.12148481
6,0.714286,1.51354144,-0.00030521,28.12148481
6,0.714286,1.37339874,0.03078829,28.12148481
6,0.714286,1.23411142,0.05970680,28.12148481
