Station,r/R,X_in,Y_in,Z_in
5,0.571429,-0.04241762,0.24352614,22.49718785
5,0.571429,-0.09207994,0.23393683,22.49718785
5,0.571429,-0.25949457,0.23568094,22.49718785
5,0.571429,-0.37627570,0.23230766,22.49718785
5,0.571429,-0.48636022,0.22433228,22.49718785
5,0.571429,-0.58892519,0.21192425,22.49718785
5,0.571429,-0.68246639,0.19378453,22.49718785
5,0.571429,-0.76552285,0.17107705,22.49718785
5,0.571429,-0.83245474,0.14516731,22.49718785
5,0.571429,-0.87446983,0.12138724,22.49718785
5,0.571429,-0.89213744,0.10794695,22.49718785
5,0.571429,-0.95137926,0.09519985,22.49718785
5,0.571429,-0.90356847,0.10983300,22.49718785
5,0.571429,-0.91405803,0.10404744,22.49718785
5,0.571429,-0.89682002,0.08481553,22.49718785
5,0.571429,-0.85283886,0.06012631,22.49718785
5,0.571429,-0.78683400,0.03379039,22.49718785
5,0.571429,-0.70571108,0.00944469,22.49718785
5,0.571429,-0.61456316,-0.01261471,22.49718785
5,0.571429,-0.51401008,-0.03252357,22.49718785
5,0.571429,-0.40600576,-0.05088625,22.49718785
5,0.571429,-0.29086731,-0.06787635,22.49718785
5,0.571429,-0.12515232,-0.09004610,22.49718785
5,0.571429,-0.07752208,-0.10729013,22.49718785
5,0.571429,0.09150211,-0.12857749,22.49718785
5,0.571429,0.23022887,-0.14526505,22.49718785
5,0.571429,0.37396384,-0.16233843,22.49718785
5,0.571429,0.52052909,-0.17892631,22.49718785
5,0.571429,0.66966190,-0.19527144,22.49718785
5,0.571429,0.81956766,-0.21104050,22.49718785
5,0.571429,0.96953815,-0.22616262,22.49718785
5,0.571429,1.11914058,-0.24059449,22.49718785
5,0.571429,1.26865799,-0.25428757,22.49718785
5,0.571429,1.41840894,-0.26723529,22.49718785
5,0.571429,1.56942781,-0.27942586,22.49718785
5,0.571429,1.72319321,-0.29077660,22.49718785
5,0.571429,1.87937388,-0.30102376,22.49718785
5,0.571429,2.03559264,-0.30969885,22.49718785
5,0.571429,2.18661665,-0.31627825,22.49718785
5,0.571429,2.33008904,-0.32048766,22.49718785
5,0.571429,2.46737419,-0.32219458,22.49718785
5,0.571429,2.59966385,-0.32140293,22.49718785
5,0.571429,2.72804319,-0.31799070,22.49718785
6,0.714286,2.57774498,-0.28486991,28.12148481
6,0.714286,2.46076777,-0.25163692,28.12148481
6,0.714286,2.33999330,-0.21720253,28.12148481
6,0.714286,2.21440419,-0.18158436,28.12148481
6,0.714286,2.08285413,-0.14492896,28.12148481
6,0.714286,1.94405769,-0.10729292,28.12148481
6,0.714286,1.80013742,-0.06974033,28.12148481
6,0.714286,1.65589574,-0.03385247,28.12148481
6,0.714286,1.51354144,-0.00030521,28.12148481
6,0.714286,1.37339874,0.03078829,28.12148481
6,0.714286,1.23411142,0.05970680,28.12148481
6,0.714286,1.09472600,0.08664236,28.12148481
6,0.714286,0.95494635,0.11163210,28.12148481
6,0.714286,0.81451781,0.13474419,28.12148481
6,0.714286,0.67385206,0.15596332,28.12148481
6,0.714286,0.53360197,0.17509885,28.12148481
6,0.714286,0.39548374,0.19204454,28.12148481
6,0.714286,0.25973292,0.20687970,28.12148481
6,0.714286,0.12838786,0.21876847,28.12148481
6,0.714286,-0.03215702,0.22986962,28.12148481
6,0.714286,-0.07924791,0.22138018,28.12148481
6,0.714286,-0.23708772,0.22698968,28.12148481
6,0.714286,-0.34728998,0.22654350,28.12148481
6,0.714286,-0.45127730,0.22153907,28.12148481
6,0.714286,-0.54824328,0.21209623,28.12148481
6,0.714286,-0.63679559,0.19695386,28.12148481
6,0.714286,-0.71547372,0.17719447,28.12148481
6,0.714286,-0.77883360,0.15406432,28.12148481
6,0.714286,-0.81831567,0.13264484,28.12148481
6,0.714286,-0.83432387,0.12119401,28.12148481
6,0.714286,-0.89290367,0.11189535,28.12148481
6,0.714286,-0.84475470,0.12537409,28.12148481
6,0.714286,-0.85589018,0.12163071,28.12148481
6,0.714286,-0.84073147,0.10320157,28.12148481
6,0.714286,-0.80016649,0.07863679,28.12148481
6,0.714286,-0.73874655,0.05189107,28.12148481
6,0.714286,-0.66292714,0.02667781,28.12148481
6,0.714286,-0.57755316,0.00346011,28.12148481
6,0.714286,-0.48322285,-0.01786422,28.12148481
6,0.714286,-0.38180982,-0.03782016,28.12148481
6,0.714286,-0.27362136,-0.05658571,28.12148481
6,0.714286,-0.11784294,-0.08138810,28.12148481
6,0.714286,-0.07341786,-0.09938407,28.12148481
6,0.714286,0.08550508,-0.12342794,28.12148481
6,0.714286,0.21595946,-0.14242422,28.12148481
